epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1366.89,0.40889,1.54577,1.12831,0.60768,0.84633,0.69016,0.65558,0.39411,1.85237,0.62481,0.0004155,0.0004155,0.0004155
2,2726.99,0.26508,0.851,0.99772,0.81533,0.82573,0.9283,0.90036,0.41969,1.01601,0.68195,0.000815689,0.000815689,0.000815689
3,4083.94,0.24847,0.72941,0.98698,0.69136,0.7837,0.86654,0.81019,0.39501,1.39975,0.63206,0.00119938,0.00119938,0.00119938
4,5441.92,0.22719,0.65295,0.97207,0.66671,0.81113,0.8669,0.84827,0.3371,1.12713,0.54498,0.00117575,0.00117575,0.00117575
5,6797.89,0.20746,0.58617,0.95754,0.82053,0.86006,0.95685,0.91899,0.44076,0.69277,0.75231,0.001151,0.001151,0.001151
6,8151.32,0.18705,0.5308,0.95159,0.78993,0.90973,0.95451,0.91183,0.40907,0.7532,0.66839,0.00112625,0.00112625,0.00112625
7,9509.32,0.17076,0.48931,0.93867,0.92901,0.9183,0.97697,0.95872,0.3476,0.46817,0.5697,0.0011015,0.0011015,0.0011015
8,10865.5,0.15896,0.47304,0.93523,0.77738,0.89419,0.97945,0.94618,0.38076,0.69875,0.61639,0.00107675,0.00107675,0.00107675
9,12223.8,0.15763,0.45169,0.93296,0.87114,0.86698,0.94323,0.89082,0.34358,0.51465,0.54646,0.001052,0.001052,0.001052
10,13580.3,0.14302,0.4242,0.92377,0.96056,0.95723,0.98731,0.98186,0.31122,0.38164,0.5179,0.00102725,0.00102725,0.00102725
11,14937.3,0.13921,0.41723,0.92234,0.956,0.93511,0.98392,0.95143,0.37908,0.46371,0.61928,0.0010025,0.0010025,0.0010025
12,16292.5,0.13751,0.4156,0.92378,0.95462,0.95058,0.98816,0.91057,0.41979,0.55168,0.8493,0.00097775,0.00097775,0.00097775
13,17648.2,0.13186,0.4005,0.92278,0.95654,0.96566,0.99059,0.98672,0.27363,0.36048,0.46577,0.000953,0.000953,0.000953
14,19004.5,0.12788,0.3814,0.91849,0.9592,0.95856,0.9877,0.97517,0.35282,0.39978,0.60125,0.00092825,0.00092825,0.00092825
15,20360.1,0.12222,0.38096,0.91815,0.97856,0.9769,0.99173,0.98304,0.29904,0.33242,0.51155,0.0009035,0.0009035,0.0009035
16,31012.3,0.12004,0.35945,0.91533,0.97599,0.96851,0.99011,0.96293,0.33657,0.33148,0.55326,0.00087875,0.00087875,0.00087875
17,32363.1,0.11689,0.36314,0.91087,0.97417,0.98311,0.99333,0.97656,0.31674,0.30177,0.52647,0.000854,0.000854,0.000854
18,33730,0.11208,0.35165,0.91016,0.98063,0.98142,0.99308,0.95876,0.31902,0.33659,0.55376,0.00082925,0.00082925,0.00082925
19,35096.3,0.10837,0.34248,0.91055,0.96783,0.97461,0.99128,0.98554,0.29752,0.32448,0.47817,0.0008045,0.0008045,0.0008045
