epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.18,0.39676,2.10767,1.07617,0.00334,1,0.43236,0.40478,0.43104,2.97835,0.85846,0.00043342,0.00043342,0.00043342
2,280.69,0.27593,1.3917,0.97882,0.20904,0.75029,0.2695,0.1597,0.99385,2.84248,1.24897,0.000866017,0.000866017,0.000866017
3,403.62,0.27019,1.19705,0.97619,0.56727,0.2931,0.07463,0.04747,1.66984,4.613,2.0781,0.00128079,0.00128079,0.00128079
4,525.506,0.29599,1.14551,0.98657,0.29338,0.54914,0.32097,0.28911,0.52319,3.17266,0.97167,0.00156798,0.00156798,0.00156798
5,643.804,0.28273,1.05827,0.97695,0.50339,0.55345,0.49335,0.41391,0.51362,2.14882,0.97956,0.00153497,0.00153497,0.00153497
6,762.027,0.25788,0.96601,0.95359,0.37045,0.50949,0.4073,0.33896,0.5312,3.50772,0.92611,0.00150197,0.00150197,0.00150197
7,881.372,0.24314,0.90257,0.93737,0.41279,0.44741,0.43888,0.40858,0.41474,2.3314,0.76254,0.00146896,0.00146896,0.00146896
8,998.837,0.23783,0.91695,0.94024,0.53769,0.5867,0.57963,0.4827,0.51125,1.69304,0.76594,0.00143595,0.00143595,0.00143595
9,1116.93,0.21055,0.79402,0.91646,0.48751,0.76782,0.6405,0.60061,0.40708,1.63739,0.74681,0.00140295,0.00140295,0.00140295
10,1233.38,0.21883,0.79216,0.93574,0.54021,0.74282,0.65218,0.62741,0.33313,1.44076,0.6373,0.00136994,0.00136994,0.00136994
11,1350.08,0.21135,0.77647,0.9339,0.71649,0.68069,0.70923,0.64643,0.4034,1.27488,0.74275,0.00133693,0.00133693,0.00133693
12,1473.67,0.21466,0.77306,0.93785,0.49272,0.58937,0.52728,0.3759,0.62665,1.50726,0.98267,0.00130393,0.00130393,0.00130393
13,1589.27,0.20104,0.67869,0.92779,0.57638,0.68247,0.70621,0.63199,0.38447,1.78751,0.70606,0.00127092,0.00127092,0.00127092
